Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Abdolalizadeh, AmirHussein; Abbasi, Nooshin; Mohajer, Bahram; ",Default Mode Network Integrity and Brain Atrophy Rates in Patients with Alzheimer's Disease and Mild Cognitive Impairment: The Role of Catechol-o-Methyltransferase Val158Met Variant (P4. 013),Neurology,86,16_supplement,P4. 013,2016,"Lippincott Williams & Wilkins Hagerstown, MD"
"Roostaei, T; Nazeri, A; Sadaghiani, SH; Abdolalizadeh, AH; Mohajer, B; Javadian, N; Eshaghi, A; Moghadasi, AR; Owji, M; Doosti, R; ",The ratio of T1w/T2w image intensities in deep grey matter as novel imaging biomarkers for multiple sclerosis,MULTIPLE SCLEROSIS JOURNAL,19,11,174-174,2013,"SAGE PUBLICATIONS LTD 1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND"
"Abdolalizadeh, AmirHussein; Mohajer, Bahram; Abbasi, Nooshin; ",Functional Dysconnectivity in Autism Spectrum Disorder Revealed by Network-Based Statistics.,Proc. Intl. Soc. Mag. Reson. Med,24,,1037,2016,
"Mohajer, Bahram; Abbasi, Nooshin; Pishgar, Farhad; Abdolalizadeh, Amirhussein; Ebrahimi, Hedyeh; Razaviyoun, Taraneh; Mohebbi, Farnam; Eskandarieh, Sharareh; Sahraian, Mohammad Ali; ",HLA-DRB1 polymorphism and susceptibility to multiple sclerosis in the Middle East North Africa region: A systematic review and meta-analysis,Journal of neuroimmunology,321,,117-124,2018,Elsevier
"Abbasi, Nooshin; Mohajer, Bahram; Abbasi, Sima; Hasanabadi, Payam; Abdolalizadeh, Amirhussein; Rajimehr, Reza; ",Relationship between cerebrospinal fluid biomarkers and structural brain network properties in Parkinson's disease,Movement Disorders,33,3,431-439,2018,
"Heydarpour, P; Manouchehrinia, A; Beiki, O; Mousavi, SE; Abdolalizadeh, A; ‐Lakeh, M Moradi; Sahraian, MA; ",Smoking and worsening disability in multiple sclerosis: a meta‐analysis,Acta Neurologica Scandinavica,138,1,62-69,2018,
"Mohajer, B; Abbasi, N; Abdolalizadeh, A; Razaviyoun, T; Sahraian, MA; ",HLA-DRB1 polymorphism and susceptibility to multiple sclerosis in the Middle East North Africa region: systematic review and meta-analysis reveals similarities with Caucasians,MULTIPLE SCLEROSIS JOURNAL,23,,499-500,2017,"SAGE PUBLICATIONS LTD 1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND"
"Saghazadeh, Amene; Ataeinia, Bahar; Keynejad, Kimia; Abdolalizadeh, Amirhussein; Hirbod-Mobarakeh, Armin; Rezaei, Nima; ","A meta-analysis of pro-inflammatory cytokines in autism spectrum disorders: Effects of age, gender, and latitude",Journal of psychiatric research,115,,90-102,2019,Pergamon
"Saghazadeh, Amene; Ataeinia, Bahar; Keynejad, Kimia; Abdolalizadeh, Amirhussein; Hirbod-Mobarakeh, Armin; Rezaei, Nima; ",Anti-inflammatory cytokines in autism spectrum disorders: A systematic review and meta-analysis,Cytokine,123,,154740,2019,Academic Press
"Mayeli, Mahsa; Mirshahvalad, Seyed Mohammad; Aghamollaii, Vajiheh; Tafakhori, Abbas; Abdolalizadeh, Amirhussein; Rahmani, Farzaneh; Alzheimer's Disease Neuroimaging Initiative; ",Plasma neurofilament light chain levels are associated with cortical hypometabolism in Alzheimer disease signature regions,Journal of Neuropathology & Experimental Neurology,78,8,709-716,2019,Oxford University Press
